Caratterizzata da un pass| c: 25
ato turbolento, in       | c: 19
epoca medievale Rouen fu | c: 25
devastata piu' volte     | c: 21
da incendi ed epidemie e | c: 25
durante la Guerra        | c: 18
dei Cent' Anni fu occupat| c: 24
a dagli inglesi.         | c: 16
Nel **** nella sua piazza| c: 25
 centrale la giovane     | c: 21
Giovanna d' Arco ( Jeanne| c: 23
 d' Arc) fu processata   | c: 22
per eresia e arsa sul rog| c: 25
o! Durante la seconda    | c: 21
guerra mondiale gli Allea| c: 25
ti bombardarono          | c: 16
ampie zone della citta' ,| c: 24
 soprattutto il          | c: 16
quartiere che si estende | c: 25
a sud della cattedrale   | c: 22
